"lug_type","b","ncp","cv_type","rr","rho","d","big_T","num_sims","use"
"Zero",0.13,0,"fixed",0.051,0,3,500,1000,"error_rates"
"Zero",0.14,0,"fixed",0.048,0,3,500,1000,"error_rates"
"Zero",0.15,0,"fixed",0.05,0,3,500,1000,"error_rates"
"Zero",0.16,0,"fixed",0.057,0,3,500,1000,"error_rates"
"Zero",0.17,0,"fixed",0.053,0,3,500,1000,"error_rates"
"Zero",0.18,0,"fixed",0.046,0,3,500,1000,"error_rates"
"Zero",0.19,0,"fixed",0.047,0,3,500,1000,"error_rates"
"Zero",0.2,0,"fixed",0.048,0,3,500,1000,"error_rates"
"Zero",0.25,0,"fixed",0.045,0,3,500,1000,"error_rates"
"Zero",0.3,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.35,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Zero",0.4,0,"fixed",0.048,0,3,500,1000,"error_rates"
"Zero",0.45,0,"fixed",0.047,0,3,500,1000,"error_rates"
"Zero",0.5,0,"fixed",0.055,0,3,500,1000,"error_rates"
"Mother",0,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Mother",0.01,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Mother",0.02,0,"fixed",0.055,0,3,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.03,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.04,0,"fixed",0.057,0,3,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"fixed",0.058,0,3,500,1000,"error_rates"
"Mother",0.05,0,"fixed",0.052,0,3,500,1000,"error_rates"
"Mother",0.06,0,"fixed",0.053,0,3,500,1000,"error_rates"
"Mother",0.07,0,"fixed",0.057,0,3,500,1000,"error_rates"
"Mother",0.08,0,"fixed",0.062,0,3,500,1000,"error_rates"
"Mother",0.09,0,"fixed",0.06,0,3,500,1000,"error_rates"
"Mother",0.1,0,"fixed",0.063,0,3,500,1000,"error_rates"
"Mother",0.11,0,"fixed",0.062,0,3,500,1000,"error_rates"
"Mother",0.12,0,"fixed",0.064,0,3,500,1000,"error_rates"
"Mother",0.13,0,"fixed",0.061,0,3,500,1000,"error_rates"
"Mother",0.14,0,"fixed",0.059,0,3,500,1000,"error_rates"
"Mother",0.15,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Mother",0.16,0,"fixed",0.057,0,3,500,1000,"error_rates"
"Mother",0.17,0,"fixed",0.055,0,3,500,1000,"error_rates"
"Mother",0.18,0,"fixed",0.057,0,3,500,1000,"error_rates"
"Mother",0.19,0,"fixed",0.058,0,3,500,1000,"error_rates"
"Mother",0.2,0,"fixed",0.056,0,3,500,1000,"error_rates"
"Mother",0.25,0,"fixed",0.051,0,3,500,1000,"error_rates"
"Mother",0.3,0,"fixed",0.05,0,3,500,1000,"error_rates"
"Mother",0.35,0,"fixed",0.05,0,3,500,1000,"error_rates"
"Mother",0.4,0,"fixed",0.058,0,3,500,1000,"error_rates"
"Mother",0.45,0,"fixed",0.054,0,3,500,1000,"error_rates"
"Mother",0.5,0,"fixed",0.05,0,3,500,1000,"error_rates"
"Zero",0,0,"small",0.058,0,3,500,1000,"error_rates"
"Zero",0.01,0,"small",0.067,0,3,500,1000,"error_rates"
"Zero",0.02,0,"small",0.083,0,3,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"small",0.105,0,3,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"small",0.107,0,3,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"small",0.106,0,3,500,1000,"error_rates"
"Zero",0.03,0,"small",0.105,0,3,500,1000,"error_rates"
"Zero",0.04,0,"small",0.149,0,3,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"small",0.153,0,3,500,1000,"error_rates"
"Zero",0.05,0,"small",0.176,0,3,500,1000,"error_rates"
"Zero",0.06,0,"small",0.202,0,3,500,1000,"error_rates"
"Zero",0.07,0,"small",0.234,0,3,500,1000,"error_rates"
"Zero",0.08,0,"small",0.284,0,3,500,1000,"error_rates"
"Zero",0.09,0,"small",0.32,0,3,500,1000,"error_rates"
"Zero",0.1,0,"small",0.36,0,3,500,1000,"error_rates"
"Zero",0.11,0,"small",0.396,0,3,500,1000,"error_rates"
"Zero",0.12,0,"small",0.434,0,3,500,1000,"error_rates"
"Zero",0.13,0,"small",0.483,0,3,500,1000,"error_rates"
"Zero",0.14,0,"small",0.515,0,3,500,1000,"error_rates"
"Zero",0.15,0,"small",0.54,0,3,500,1000,"error_rates"
"Zero",0.16,0,"small",0.569,0,3,500,1000,"error_rates"
"Zero",0.17,0,"small",0.591,0,3,500,1000,"error_rates"
"Zero",0.18,0,"small",0.619,0,3,500,1000,"error_rates"
"Zero",0.19,0,"small",0.634,0,3,500,1000,"error_rates"
"Zero",0.2,0,"small",0.668,0,3,500,1000,"error_rates"
"Zero",0.25,0,"small",0.786,0,3,500,1000,"error_rates"
"Zero",0.3,0,"small",0.862,0,3,500,1000,"error_rates"
"Zero",0.35,0,"small",0.878,0,3,500,1000,"error_rates"
"Zero",0.4,0,"small",0.896,0,3,500,1000,"error_rates"
"Zero",0.45,0,"small",0.929,0,3,500,1000,"error_rates"
"Zero",0.5,0,"small",0.935,0,3,500,1000,"error_rates"
"Mother",0,0,"small",0.058,0,3,500,1000,"error_rates"
"Mother",0.01,0,"small",0.059,0,3,500,1000,"error_rates"
"Mother",0.02,0,"small",0.069,0,3,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"small",0.075,0,3,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"small",0.076,0,3,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"small",0.076,0,3,500,1000,"error_rates"
"Mother",0.03,0,"small",0.075,0,3,500,1000,"error_rates"
"Mother",0.04,0,"small",0.087,0,3,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"small",0.088,0,3,500,1000,"error_rates"
"Mother",0.05,0,"small",0.098,0,3,500,1000,"error_rates"
"Mother",0.06,0,"small",0.112,0,3,500,1000,"error_rates"
"Mother",0.07,0,"small",0.125,0,3,500,1000,"error_rates"
"Mother",0.08,0,"small",0.135,0,3,500,1000,"error_rates"
"Mother",0.09,0,"small",0.147,0,3,500,1000,"error_rates"
"Mother",0.1,0,"small",0.159,0,3,500,1000,"error_rates"
"Mother",0.11,0,"small",0.172,0,3,500,1000,"error_rates"
"Mother",0.12,0,"small",0.184,0,3,500,1000,"error_rates"
"Mother",0.13,0,"small",0.192,0,3,500,1000,"error_rates"
"Mother",0.14,0,"small",0.203,0,3,500,1000,"error_rates"
"Mother",0.15,0,"small",0.21,0,3,500,1000,"error_rates"
"Mother",0.16,0,"small",0.227,0,3,500,1000,"error_rates"
"Mother",0.17,0,"small",0.242,0,3,500,1000,"error_rates"
"Mother",0.18,0,"small",0.259,0,3,500,1000,"error_rates"
"Mother",0.19,0,"small",0.273,0,3,500,1000,"error_rates"
"Mother",0.2,0,"small",0.282,0,3,500,1000,"error_rates"
"Mother",0.25,0,"small",0.344,0,3,500,1000,"error_rates"
"Mother",0.3,0,"small",0.396,0,3,500,1000,"error_rates"
"Mother",0.35,0,"small",0.43,0,3,500,1000,"error_rates"
"Mother",0.4,0,"small",0.467,0,3,500,1000,"error_rates"
"Mother",0.45,0,"small",0.514,0,3,500,1000,"error_rates"
"Mother",0.5,0,"small",0.559,0,3,500,1000,"error_rates"
"Zero",0,0,"fixed",0.041,0,4,500,1000,"error_rates"
"Zero",0.01,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Zero",0.02,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Zero",0.03,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Zero",0.04,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"fixed",0.053,0,4,500,1000,"error_rates"
"Zero",0.05,0,"fixed",0.042,0,4,500,1000,"error_rates"
"Zero",0.06,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Zero",0.07,0,"fixed",0.052,0,4,500,1000,"error_rates"
"Zero",0.08,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Zero",0.09,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.1,0,"fixed",0.04,0,4,500,1000,"error_rates"
"Zero",0.11,0,"fixed",0.042,0,4,500,1000,"error_rates"
"Zero",0.12,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.13,0,"fixed",0.042,0,4,500,1000,"error_rates"
"Zero",0.14,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Zero",0.15,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.16,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Zero",0.17,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Zero",0.18,0,"fixed",0.044,0,4,500,1000,"error_rates"
"Zero",0.19,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.2,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Zero",0.25,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.3,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Zero",0.35,0,"fixed",0.055,0,4,500,1000,"error_rates"
"Zero",0.4,0,"fixed",0.053,0,4,500,1000,"error_rates"
"Zero",0.45,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.5,0,"fixed",0.044,0,4,500,1000,"error_rates"
"Mother",0,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.01,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Mother",0.02,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.03,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.04,0,"fixed",0.044,0,4,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Mother",0.05,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.06,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.07,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Mother",0.08,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.09,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Mother",0.1,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.11,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.12,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.13,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.14,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.15,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Mother",0.16,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.17,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Mother",0.18,0,"fixed",0.041,0,4,500,1000,"error_rates"
"Mother",0.19,0,"fixed",0.038,0,4,500,1000,"error_rates"
"Mother",0.2,0,"fixed",0.04,0,4,500,1000,"error_rates"
"Mother",0.25,0,"fixed",0.041,0,4,500,1000,"error_rates"
"Mother",0.3,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.35,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.4,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.45,0,"fixed",0.052,0,4,500,1000,"error_rates"
"Mother",0.5,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0,0,"small",0.049,0,4,500,1000,"error_rates"
"Zero",0.01,0,"small",0.066,0,4,500,1000,"error_rates"
"Zero",0.02,0,"small",0.091,0,4,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"small",0.115,0,4,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"small",0.115,0,4,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"small",0.116,0,4,500,1000,"error_rates"
"Zero",0.03,0,"small",0.119,0,4,500,1000,"error_rates"
"Zero",0.04,0,"small",0.165,0,4,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"small",0.171,0,4,500,1000,"error_rates"
"Zero",0.05,0,"small",0.204,0,4,500,1000,"error_rates"
"Zero",0.06,0,"small",0.269,0,4,500,1000,"error_rates"
"Zero",0.07,0,"small",0.33,0,4,500,1000,"error_rates"
"Zero",0.08,0,"small",0.388,0,4,500,1000,"error_rates"
"Zero",0.09,0,"small",0.461,0,4,500,1000,"error_rates"
"Zero",0.1,0,"small",0.53,0,4,500,1000,"error_rates"
"Zero",0.11,0,"small",0.59,0,4,500,1000,"error_rates"
"Zero",0.12,0,"small",0.643,0,4,500,1000,"error_rates"
"Zero",0.13,0,"small",0.678,0,4,500,1000,"error_rates"
"Zero",0.14,0,"small",0.724,0,4,500,1000,"error_rates"
"Zero",0.15,0,"small",0.769,0,4,500,1000,"error_rates"
"Zero",0.16,0,"small",0.812,0,4,500,1000,"error_rates"
"Zero",0.17,0,"small",0.83,0,4,500,1000,"error_rates"
"Zero",0.18,0,"small",0.854,0,4,500,1000,"error_rates"
"Zero",0.19,0,"small",0.881,0,4,500,1000,"error_rates"
"Zero",0.2,0,"small",0.893,0,4,500,1000,"error_rates"
"Zero",0.25,0,"small",0.939,0,4,500,1000,"error_rates"
"Zero",0.3,0,"small",0.969,0,4,500,1000,"error_rates"
"Zero",0.35,0,"small",0.981,0,4,500,1000,"error_rates"
"Zero",0.4,0,"small",0.987,0,4,500,1000,"error_rates"
"Zero",0.45,0,"small",0.983,0,4,500,1000,"error_rates"
"Zero",0.5,0,"small",0.991,0,4,500,1000,"error_rates"
"Mother",0,0,"small",0.049,0,4,500,1000,"error_rates"
"Mother",0.01,0,"small",0.058,0,4,500,1000,"error_rates"
"Mother",0.02,0,"small",0.066,0,4,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"small",0.075,0,4,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"small",0.075,0,4,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"small",0.077,0,4,500,1000,"error_rates"
"Mother",0.03,0,"small",0.077,0,4,500,1000,"error_rates"
"Mother",0.04,0,"small",0.092,0,4,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"small",0.091,0,4,500,1000,"error_rates"
"Mother",0.05,0,"small",0.103,0,4,500,1000,"error_rates"
"Mother",0.06,0,"small",0.12,0,4,500,1000,"error_rates"
"Mother",0.07,0,"small",0.133,0,4,500,1000,"error_rates"
"Mother",0.08,0,"small",0.153,0,4,500,1000,"error_rates"
"Mother",0.09,0,"small",0.17,0,4,500,1000,"error_rates"
"Mother",0.1,0,"small",0.19,0,4,500,1000,"error_rates"
"Mother",0.11,0,"small",0.2,0,4,500,1000,"error_rates"
"Mother",0.12,0,"small",0.216,0,4,500,1000,"error_rates"
"Mother",0.13,0,"small",0.237,0,4,500,1000,"error_rates"
"Mother",0.14,0,"small",0.254,0,4,500,1000,"error_rates"
"Mother",0.15,0,"small",0.272,0,4,500,1000,"error_rates"
"Mother",0.16,0,"small",0.292,0,4,500,1000,"error_rates"
"Mother",0.17,0,"small",0.316,0,4,500,1000,"error_rates"
"Mother",0.18,0,"small",0.333,0,4,500,1000,"error_rates"
"Mother",0.19,0,"small",0.351,0,4,500,1000,"error_rates"
"Mother",0.2,0,"small",0.373,0,4,500,1000,"error_rates"
"Mother",0.25,0,"small",0.452,0,4,500,1000,"error_rates"
"Mother",0.3,0,"small",0.514,0,4,500,1000,"error_rates"
"Mother",0.35,0,"small",0.557,0,4,500,1000,"error_rates"
"Mother",0.4,0,"small",0.599,0,4,500,1000,"error_rates"
"Mother",0.45,0,"small",0.648,0,4,500,1000,"error_rates"
"Mother",0.5,0,"small",0.686,0,4,500,1000,"error_rates"
"Zero",0,0,"fixed",0.041,0,4,500,1000,"error_rates"
"Zero",0.01,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Zero",0.02,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Zero",0.03,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Zero",0.04,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"fixed",0.053,0,4,500,1000,"error_rates"
"Zero",0.05,0,"fixed",0.042,0,4,500,1000,"error_rates"
"Zero",0.06,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Zero",0.07,0,"fixed",0.052,0,4,500,1000,"error_rates"
"Zero",0.08,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Zero",0.09,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.1,0,"fixed",0.04,0,4,500,1000,"error_rates"
"Zero",0.11,0,"fixed",0.042,0,4,500,1000,"error_rates"
"Zero",0.12,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.13,0,"fixed",0.042,0,4,500,1000,"error_rates"
"Zero",0.14,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Zero",0.15,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.16,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Zero",0.17,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Zero",0.18,0,"fixed",0.044,0,4,500,1000,"error_rates"
"Zero",0.19,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.2,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Zero",0.25,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0.3,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Zero",0.35,0,"fixed",0.055,0,4,500,1000,"error_rates"
"Zero",0.4,0,"fixed",0.053,0,4,500,1000,"error_rates"
"Zero",0.45,0,"fixed",0.049,0,4,500,1000,"error_rates"
"Zero",0.5,0,"fixed",0.044,0,4,500,1000,"error_rates"
"Mother",0,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.01,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Mother",0.02,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.03,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.04,0,"fixed",0.044,0,4,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Mother",0.05,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.06,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.07,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Mother",0.08,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.09,0,"fixed",0.05,0,4,500,1000,"error_rates"
"Mother",0.1,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.11,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.12,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.13,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.14,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.15,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Mother",0.16,0,"fixed",0.046,0,4,500,1000,"error_rates"
"Mother",0.17,0,"fixed",0.045,0,4,500,1000,"error_rates"
"Mother",0.18,0,"fixed",0.041,0,4,500,1000,"error_rates"
"Mother",0.19,0,"fixed",0.038,0,4,500,1000,"error_rates"
"Mother",0.2,0,"fixed",0.04,0,4,500,1000,"error_rates"
"Mother",0.25,0,"fixed",0.041,0,4,500,1000,"error_rates"
"Mother",0.3,0,"fixed",0.048,0,4,500,1000,"error_rates"
"Mother",0.35,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.4,0,"fixed",0.047,0,4,500,1000,"error_rates"
"Mother",0.45,0,"fixed",0.052,0,4,500,1000,"error_rates"
"Mother",0.5,0,"fixed",0.043,0,4,500,1000,"error_rates"
"Zero",0,0,"small",0.049,0,4,500,1000,"error_rates"
"Zero",0.01,0,"small",0.066,0,4,500,1000,"error_rates"
"Zero",0.02,0,"small",0.091,0,4,500,1000,"error_rates"
"Zero",0.0282012144570593,0,"small",0.115,0,4,500,1000,"error_rates"
"Zero",0.0290736536914609,0,"small",0.115,0,4,500,1000,"error_rates"
"Zero",0.0294830213147501,0,"small",0.116,0,4,500,1000,"error_rates"
"Zero",0.03,0,"small",0.119,0,4,500,1000,"error_rates"
"Zero",0.04,0,"small",0.165,0,4,500,1000,"error_rates"
"Zero",0.0413162104653558,0,"small",0.171,0,4,500,1000,"error_rates"
"Zero",0.05,0,"small",0.204,0,4,500,1000,"error_rates"
"Zero",0.06,0,"small",0.269,0,4,500,1000,"error_rates"
"Zero",0.07,0,"small",0.33,0,4,500,1000,"error_rates"
"Zero",0.08,0,"small",0.388,0,4,500,1000,"error_rates"
"Zero",0.09,0,"small",0.461,0,4,500,1000,"error_rates"
"Zero",0.1,0,"small",0.53,0,4,500,1000,"error_rates"
"Zero",0.11,0,"small",0.59,0,4,500,1000,"error_rates"
"Zero",0.12,0,"small",0.643,0,4,500,1000,"error_rates"
"Zero",0.13,0,"small",0.678,0,4,500,1000,"error_rates"
"Zero",0.14,0,"small",0.724,0,4,500,1000,"error_rates"
"Zero",0.15,0,"small",0.769,0,4,500,1000,"error_rates"
"Zero",0.16,0,"small",0.812,0,4,500,1000,"error_rates"
"Zero",0.17,0,"small",0.83,0,4,500,1000,"error_rates"
"Zero",0.18,0,"small",0.854,0,4,500,1000,"error_rates"
"Zero",0.19,0,"small",0.881,0,4,500,1000,"error_rates"
"Zero",0.2,0,"small",0.893,0,4,500,1000,"error_rates"
"Zero",0.25,0,"small",0.939,0,4,500,1000,"error_rates"
"Zero",0.3,0,"small",0.969,0,4,500,1000,"error_rates"
"Zero",0.35,0,"small",0.981,0,4,500,1000,"error_rates"
"Zero",0.4,0,"small",0.987,0,4,500,1000,"error_rates"
"Zero",0.45,0,"small",0.983,0,4,500,1000,"error_rates"
"Zero",0.5,0,"small",0.991,0,4,500,1000,"error_rates"
"Mother",0,0,"small",0.049,0,4,500,1000,"error_rates"
"Mother",0.01,0,"small",0.058,0,4,500,1000,"error_rates"
"Mother",0.02,0,"small",0.066,0,4,500,1000,"error_rates"
"Mother",0.0282012144570593,0,"small",0.075,0,4,500,1000,"error_rates"
"Mother",0.0290736536914609,0,"small",0.075,0,4,500,1000,"error_rates"
"Mother",0.0294830213147501,0,"small",0.077,0,4,500,1000,"error_rates"
"Mother",0.03,0,"small",0.077,0,4,500,1000,"error_rates"
"Mother",0.04,0,"small",0.092,0,4,500,1000,"error_rates"
"Mother",0.0413162104653558,0,"small",0.091,0,4,500,1000,"error_rates"
"Mother",0.05,0,"small",0.103,0,4,500,1000,"error_rates"
"Mother",0.06,0,"small",0.12,0,4,500,1000,"error_rates"
"Mother",0.07,0,"small",0.133,0,4,500,1000,"error_rates"
"Mother",0.08,0,"small",0.153,0,4,500,1000,"error_rates"
"Mother",0.09,0,"small",0.17,0,4,500,1000,"error_rates"
"Mother",0.1,0,"small",0.19,0,4,500,1000,"error_rates"
"Mother",0.11,0,"small",0.2,0,4,500,1000,"error_rates"
"Mother",0.12,0,"small",0.216,0,4,500,1000,"error_rates"
"Mother",0.13,0,"small",0.237,0,4,500,1000,"error_rates"
"Mother",0.14,0,"small",0.254,0,4,500,1000,"error_rates"
"Mother",0.15,0,"small",0.272,0,4,500,1000,"error_rates"
"Mother",0.16,0,"small",0.292,0,4,500,1000,"error_rates"
"Mother",0.17,0,"small",0.316,0,4,500,1000,"error_rates"
"Mother",0.18,0,"small",0.333,0,4,500,1000,"error_rates"
"Mother",0.19,0,"small",0.351,0,4,500,1000,"error_rates"
"Mother",0.2,0,"small",0.373,0,4,500,1000,"error_rates"
"Mother",0.25,0,"small",0.452,0,4,500,1000,"error_rates"
"Mother",0.3,0,"small",0.514,0,4,500,1000,"error_rates"
"Mother",0.35,0,"small",0.557,0,4,500,1000,"error_rates"
"Mother",0.4,0,"small",0.599,0,4,500,1000,"error_rates"
"Mother",0.45,0,"small",0.648,0,4,500,1000,"error_rates"
"Mother",0.5,0,"small",0.686,0,4,500,1000,"error_rates"
"Zero",0,0.0805766715619353,"fixed",0.625,0,2,500,1000,"error_rates"
"Zero",0.01,0.0805766715619353,"fixed",0.618,0,2,500,1000,"error_rates"
"Zero",0.02,0.0805766715619353,"fixed",0.6,0,2,500,1000,"error_rates"
"Zero",0.0282012144570593,0.0805766715619353,"fixed",0.573,0,2,500,1000,"error_rates"
"Zero",0.0290736536914609,0.0805766715619353,"fixed",0.571,0,2,500,1000,"error_rates"
"Zero",0.0294830213147501,0.0805766715619353,"fixed",0.572,0,2,500,1000,"error_rates"
"Zero",0.03,0.0805766715619353,"fixed",0.573,0,2,500,1000,"error_rates"
"Zero",0.04,0.0805766715619353,"fixed",0.542,0,2,500,1000,"error_rates"
"Zero",0.0413162104653558,0.0805766715619353,"fixed",0.543,0,2,500,1000,"error_rates"
"Zero",0.05,0.0805766715619353,"fixed",0.516,0,2,500,1000,"error_rates"
"Zero",0.06,0.0805766715619353,"fixed",0.481,0,2,500,1000,"error_rates"
"Zero",0.07,0.0805766715619353,"fixed",0.449,0,2,500,1000,"error_rates"
"Zero",0.08,0.0805766715619353,"fixed",0.42,0,2,500,1000,"error_rates"
"Zero",0.09,0.0805766715619353,"fixed",0.364,0,2,500,1000,"error_rates"
"Zero",0.1,0.0805766715619353,"fixed",0.323,0,2,500,1000,"error_rates"
"Zero",0.11,0.0805766715619353,"fixed",0.268,0,2,500,1000,"error_rates"
"Zero",0.12,0.0805766715619353,"fixed",0.205,0,2,500,1000,"error_rates"
"Zero",0.13,0.0805766715619353,"fixed",0.158,0,2,500,1000,"error_rates"
"Zero",0.14,0.0805766715619353,"fixed",0.101,0,2,500,1000,"error_rates"
"Zero",0.15,0.0805766715619353,"fixed",0.048,0,2,500,1000,"error_rates"
"Zero",0.16,0.0805766715619353,"fixed",0.059,0,2,500,1000,"error_rates"
"Zero",0.17,0.0805766715619353,"fixed",0.055,0,2,500,1000,"error_rates"
"Zero",0.18,0.0805766715619353,"fixed",0.066,0,2,500,1000,"error_rates"
"Zero",0.19,0.0805766715619353,"fixed",0.066,0,2,500,1000,"error_rates"
"Zero",0.2,0.0805766715619353,"fixed",0.071,0,2,500,1000,"error_rates"
"Zero",0.25,0.0805766715619353,"fixed",0.1,0,2,500,1000,"error_rates"
"Zero",0.3,0.0805766715619353,"fixed",0.119,0,2,500,1000,"error_rates"
"Zero",0.35,0.0805766715619353,"fixed",0.127,0,2,500,1000,"error_rates"
"Zero",0.4,0.0805766715619353,"fixed",0.148,0,2,500,1000,"error_rates"
"Zero",0.45,0.0805766715619353,"fixed",0.157,0,2,500,1000,"error_rates"
"Zero",0.5,0.0805766715619353,"fixed",0.161,0,2,500,1000,"error_rates"
